username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bbkaksy;2017-08-17 18:35;0;3;"It was the Nazis that did it. If the GOP could've written off Cville as southern pride, they'd just tsk tsk. But Nazis....can't rationalize.";;;;"898312478576324608";https://twitter.com/bbkaksy/status/898312478576324608
gjsd2001;2017-08-17 10:47;0;0;"The good news, libtards can't stop at a victory, they will always find a way to fail. give them time they will f up the cville temp win.";;;;"898194558915399680";https://twitter.com/gjsd2001/status/898194558915399680
dveseylives;2017-08-16 18:35;0;0;"Southern Greywolf here, I was fighting from men in Cville and also in Durham for the toppling of that Confed statue, life long antiracist";;;;"897949960460656640";https://twitter.com/dveseylives/status/897949960460656640
WheelieBricks;2017-08-16 14:34;0;0;"Answer me this, If Antifa hadn't turned up and attacked the disgusting racists, causing a brawl. Would anyone be dead right now in Cville?";;;;"897889282723074050";https://twitter.com/WheelieBricks/status/897889282723074050
1Earth1Sea1Sky;2017-08-16 08:12;0;0;"Some folks think that white racism is a southern thing. Many of the Nazis at Cville were from Ohio.";;;;"897793229172740097";https://twitter.com/1Earth1Sea1Sky/status/897793229172740097
beulahcrusoe;2017-08-15 21:03;0;2;"Cville was purely old-school southern democrat-owned KKK versus the new Soros-owned urban democrat riot gangs antifa & blm...Pure Leftwing.";;;;"897624910050283523";https://twitter.com/beulahcrusoe/status/897624910050283523
julynewmoon;2017-08-14 13:04;0;0;"From Southern Poverty Law Center Look at the map to see who is hating in your state city town: # Cville # DontHatehttps://www.splcenter.org/hate-map";;;# #;"897141975568220162";https://twitter.com/julynewmoon/status/897141975568220162
Cmoore704;2017-08-14 10:49;0;0;"Not only Southern whites. Many of the pitiful idiots identified at the Cville rally were from Ohio, Washington state, Nevada, California.";;;;"897107844797005824";https://twitter.com/Cmoore704/status/897107844797005824
kjhiggins;2017-08-14 09:59;0;2;"The white supremacist and Nazi groups that converged on # Cville were from all over the country. This is not just a Southern problem.";;;#;"897095398220849152";https://twitter.com/kjhiggins/status/897095398220849152
hangallneocons;2017-08-14 01:00;0;0;"Clearly this was the case in CVille. We were led into a trap when we thought the govt would uphold our legal permit granted by federal court";;;;"896959682421510145";https://twitter.com/hangallneocons/status/896959682421510145
TheGloryFires;2017-08-13 17:05;33;113;"cut the classist "southern inbred redneck" bullshit. the Cville murderer is a yankee. their leader is a rich fancylad. it's a WHITE problem.";;;;"896840034615263236";https://twitter.com/TheGloryFires/status/896840034615263236
jdscoville6868;2017-08-13 15:33;0;0;"The establishment didn't want the message to get out in Cville. Shutting down speech is pathetic";;;;"896816924927066113";https://twitter.com/jdscoville6868/status/896816924927066113
CyberPunk_Fixer;2017-08-13 11:34;0;0;"yes i was busy at the cville va rally im sure you an your teddy bears had a lovely tea party.";;;;"896756772043706372";https://twitter.com/CyberPunk_Fixer/status/896756772043706372
packchick91;2017-08-12 21:13;0;0;"I have southern roots. My ancestors fought for the confederacy. My parents were born & raised in NC. I'm outraged by 2day's events. # cville https://twitter.com/joyannreid/status/896531144606441472 …";;;#;"896540295583727616";https://twitter.com/packchick91/status/896540295583727616
JWMcQuatchi;2017-08-12 19:55;0;0;"Trump and the GOP and their Southern strategy that spanned decades OWN what happened in Cville. https://twitter.com/FoxNews/status/896517995186356224 …";;;;"896520642769465344";https://twitter.com/JWMcQuatchi/status/896520642769465344
Squeeze_Daddy;2017-08-12 15:32;0;8;"Oh the confederate flag it's just a sign of my southern roots .. stfu !! You are affiliated with every white supremacist down in Cville rn!";;;;"896454466383339520";https://twitter.com/Squeeze_Daddy/status/896454466383339520
texasinafrica;2017-08-12 14:50;3;19;"This is going to shake those folks. Nazi torchlight rallies do not fit the football Saturdays m.o. Southern whites associate with Cville.";;;;"896443837370990592";https://twitter.com/texasinafrica/status/896443837370990592
ChrisJOShea;2017-08-12 14:11;0;0;"CVille is a great town. And VA is the only Southern state to go for Hillary.";;;;"896434029414809600";https://twitter.com/ChrisJOShea/status/896434029414809600
m_mckinney;2017-08-12 12:57;0;2;"CVille is a beautiful quaint southern college town. You feel peace just driving through the area. The town itself & UVA don't deserve this.";;;;"896415310365982720";https://twitter.com/m_mckinney/status/896415310365982720
johnfein;2017-08-12 10:43;1;4;"Thx to the thread by @ SaraJBenincasa I donated to these orgs: Charlottesville NAACP & Pride, IMPACT Cville, & Inst of Southern Jewish Life. https://twitter.com/johnfein/status/896372520437391361 …";;@;;"896381525566074880";https://twitter.com/johnfein/status/896381525566074880
zulablaw;2017-08-11 20:31;1;2;"Virginia is ours, a Southern state. The 240,000 MS-13 terrorist, rapists, gang must be deported. Save Virginia! # UniteTheRight # Cville # VA https://twitter.com/occdissent/status/896125222109061120 …";;;# # #;"896167256349999105";https://twitter.com/zulablaw/status/896167256349999105
laurafvt;2017-08-11 16:38;0;0;"Will there be ample tickets available at the door?";;;;"896108681854570497";https://twitter.com/laurafvt/status/896108681854570497
RomiTheWriter;2017-08-09 20:45;2;3;"Interview: @ ElectricGuest hits the reset button http://ow.ly/jTto30ebVbk @ MusicHallofWB @ MetroGallery @ southern_cville @ GreyEagleMusicpic.twitter.com/nbYElJkutT";;@ @ @ @ @;;"895445885919805440";https://twitter.com/RomiTheWriter/status/895445885919805440
RIFFonline;2017-08-09 20:45;1;2;"Interview: @ ElectricGuest hits the reset button http://ow.ly/jTto30ebVbk @ MusicHallofWB @ MetroGallery @ southern_cville @ GreyEagleMusicpic.twitter.com/pZ7OWEwxLn";;@ @ @ @ @;;"895445872825090048";https://twitter.com/RIFFonline/status/895445872825090048
redpumpkitchen;2017-08-07 11:13;1;0;"Here's a read to cure the Rainy Monday Blues... # Cville featured in @ CNNTravel's Article~ Charming Southern Cities! http://cnn.it/2uhy6nb pic.twitter.com/RyMdSlSjd8";;@;#;"894577255736909825";https://twitter.com/redpumpkitchen/status/894577255736909825
