username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MusicCville;2017-06-14 10:00;0;1;"The Head and the Heart: Sprint Pavilion at 7 PM";;;;"874989821848035329";https://twitter.com/MusicCville/status/874989821848035329
WNRNradio;2017-06-13 12:24;1;0;"Catch up with Tad Abbey at 2 p.m. for Take2@2 - he's previewing tomorrow night's concert at the @ SprintPavilion in Charlottesville!";;@2 @;;"874663781586042880";https://twitter.com/WNRNradio/status/874663781586042880
NataliePrass;2017-06-13 00:54;0;2;"Um. Yea. Squirrel hat wins.";;;;"874490162675372032";https://twitter.com/NataliePrass/status/874490162675372032
headandtheheart;2017-06-13 00:44;0;4;"pic.twitter.com/9quEoL2AvG";;;;"874487558486601728";https://twitter.com/headandtheheart/status/874487558486601728
KamloopsTriClub;2017-06-12 19:20;1;1;"Now that you're all trained up , how about another great sprint race ? Pavilion Lake Triathlon registration is... http://fb.me/1iIdJNKd0";;;;"874406176896634880";https://twitter.com/KamloopsTriClub/status/874406176896634880
NataliePrass;2017-06-12 14:46;2;34;"Excited to be opening for @ headandtheheart this Weds. In Charlottesville, VA @ SprintPavilion see u there !!! pic.twitter.com/OyxOaBswvj";;@ @;;"874337106742693888";https://twitter.com/NataliePrass/status/874337106742693888
CObaughChevy;2017-06-11 17:23;0;0;"Love Sheryl Crow? She’ll be performing at the Sprint Pavilion in Charlottesville on June 20th! Get your... http://bit.ly/2s1Upzb pic.twitter.com/UeOIP4ocdE";;;;"874014154574753792";https://twitter.com/CObaughChevy/status/874014154574753792
Raven161068;2017-06-11 07:25;0;0;"# SherylCrow - # ABenefitfortheCharlottesvilleFreeClinic # SprintPavilion # Charlottesville, VA / Get her new... http://fb.me/7O2P2JZNy";;;# # # #;"873863762071179264";https://twitter.com/Raven161068/status/873863762071179264
cvillepulse;2017-06-09 17:43;2;2;". @ TheJudyCollins and Stephen Stills set @ SprintPavilion show 50 years after their first meeting: http://bit.ly/2snjAfW pic.twitter.com/fjFxnZyo6P";;@ @;;"873294521794166784";https://twitter.com/cvillepulse/status/873294521794166784
cvillepulse;2017-06-09 16:00;2;0;". @ headandtheheart tangle with the trappings of fame: http://bit.ly/2rV4WvJ  (cc: @ SprintPavilion) pic.twitter.com/ZJlPTTaV0E";;@ @;;"873268472129519620";https://twitter.com/cvillepulse/status/873268472129519620
