username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CvilleDowntown;2017-02-11 00:46;0;0;"http://fb.me/Lai4BfTR";;;;"830291996942086144";https://twitter.com/CvilleDowntown/status/830291996942086144
CvilleDowntown;2017-02-11 00:46;0;0;"http://fb.me/1UUeAIs6z";;;;"830291777399590912";https://twitter.com/CvilleDowntown/status/830291777399590912
CvilleDowntown;2017-02-11 00:44;0;0;"http://fb.me/5fFm024iZ";;;;"830291499820601346";https://twitter.com/CvilleDowntown/status/830291499820601346
CvilleDowntown;2017-02-10 23:53;0;0;"Silver Dollar has been cleared to serve food again!!! Yay!!! Starting this Monday at 4pm. Get ready to get your... http://fb.me/1GJCnhX7k";;;;"830278557720915968";https://twitter.com/CvilleDowntown/status/830278557720915968
CvilleDowntown;2017-02-10 18:34;0;0;"I just launched my brand new online store! Welcome everyone. http://fb.me/3S34u6EiV";;;;"830198288334856193";https://twitter.com/CvilleDowntown/status/830198288334856193
CvilleDowntown;2017-02-10 18:34;0;0;"http://fb.me/3sjM2Wfa9";;;;"830198228939374592";https://twitter.com/CvilleDowntown/status/830198228939374592
CvilleDowntown;2017-02-08 19:21;0;0;"http://fb.me/1HjjTQRlE";;;;"829485234328580099";https://twitter.com/CvilleDowntown/status/829485234328580099
CvilleDowntown;2017-02-07 20:50;0;0;"http://fb.me/3gOlmb5HU";;;;"829145333955309568";https://twitter.com/CvilleDowntown/status/829145333955309568
lyssa_ex;2017-02-07 13:37;0;0;"How I got here . . . . . # downtown # cville # magnet # telephonepoles # charlottesville # vsco… https://www.instagram.com/p/BQOH620BKtl/";;;# # # # # #;"829036289294864384";https://twitter.com/lyssa_ex/status/829036289294864384
CvilleDowntown;2017-02-05 18:26;0;0;"http://fb.me/18p01QImw";;;;"828384403504128000";https://twitter.com/CvilleDowntown/status/828384403504128000
ScoutologyCVILL;2017-02-02 16:41;0;0;"12 Shops To Visit On The Downtown Mall! # cville @ LoveCVille @ alakazamtoys @ RoxieDaisy @ thinkrps_cville http://charlottesville.scoutology.com/12-shops-to-visit-on-the-downtown-mall/ …";;@ @ @ @;#;"827270661017989120";https://twitter.com/ScoutologyCVILL/status/827270661017989120
CvilleDowntown;2017-02-02 16:17;0;0;"http://fb.me/XhsDatgD";;;;"827264753898696711";https://twitter.com/CvilleDowntown/status/827264753898696711
CVilleFood;2017-02-02 15:38;0;0;"12 Spots For Great Steak In # CVille! # uva Scoutology Charlottesville, Va ~ Downtown Grille, Petit Pois... http://fb.me/5sdbGqukk";;;# #;"827254793076740096";https://twitter.com/CVilleFood/status/827254793076740096
CvilleDowntown;2017-02-01 17:08;0;0;"Git er done!";;;;"826915197076041728";https://twitter.com/CvilleDowntown/status/826915197076041728
CvilleDowntown;2017-02-01 17:01;0;0;"http://fb.me/1M1PATXxo";;;;"826913454015598601";https://twitter.com/CvilleDowntown/status/826913454015598601
Scoutology;2017-02-01 10:52;0;0;"These 14 CVille Red Meat Dishes Will Turn You On! # Cville # UVA # CVillefood ~ Ivy Inn Restaurant, Downtown Grille,... http://fb.me/RSVqhK6Z";;;# # #;"826820604003246081";https://twitter.com/Scoutology/status/826820604003246081
RamanPfaff;2017-01-31 12:08;0;1;"# NoBanNoWall # MuslimBanprotest Downtown mall. Big crowd. # cville # RESISTANCE # resisttrumptuesdaypic.twitter.com/4LHMYvBrc2";;;# # # # #;"826477230146584576";https://twitter.com/RamanPfaff/status/826477230146584576
CvilleDowntown;2017-01-31 09:44;0;0;"A car accident affects the Silver Dollar Café family and community http://fb.me/zXjT0KfR";;;;"826441124747296769";https://twitter.com/CvilleDowntown/status/826441124747296769
CvilleDowntown;2017-01-30 20:20;0;0;"http://fb.me/7Dm4Q0udn";;;;"826238805363552257";https://twitter.com/CvilleDowntown/status/826238805363552257
CvilleDowntown;2017-01-30 18:45;0;0;"http://fb.me/5qKTicu6D";;;;"826214841505476608";https://twitter.com/CvilleDowntown/status/826214841505476608
indivisibleVA05;2017-01-28 10:31;2;6;"Come out to our first public meeting TODAY at 3:00 at the downtown central library on E Market St! Cville is going to # standindivisible !";;;#;"825365577925533697";https://twitter.com/indivisibleVA05/status/825365577925533697
HPREcville;2017-01-27 23:40;0;0;"# scouting out a great # buildinglot at # whittington 2 miles to # downtown # Cville with clients on… https://www.instagram.com/p/BPy4Qy-hXDO/";;;# # # # #;"825201946638245888";https://twitter.com/HPREcville/status/825201946638245888
CvilleDowntown;2017-01-26 21:26;0;0;"Let's get out shirts ordered. Thank you Ashley, for putting this together!! http://fb.me/6Bh0qfMes";;;;"824805668590858241";https://twitter.com/CvilleDowntown/status/824805668590858241
