username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
waluisanumber1;2017-08-13 14:11;0;0;"anybody remember the name of the rev. on MSNBC who connected Cville white supremacist riots to Thomas Jefferson's views? tbh church # goals";;;#;"896796377132519424";https://twitter.com/waluisanumber1/status/896796377132519424
CvilleBLM;2017-08-13 11:46;0;4;"Oh the ahistorical neoliberal headassery here in CVIlle around Jefferson is endemic . https://twitter.com/Hood_Biologist/status/896740415059230720 …";;;;"896759788608028672";https://twitter.com/CvilleBLM/status/896759788608028672
MaryRuberry;2017-08-13 00:29;0;0;"Democracy sprang from the fierce declaration fashioned by a local, Thomas Jefferson. Cville, a charming town with amazing mtn views & music";;;;"896589403082149888";https://twitter.com/MaryRuberry/status/896589403082149888
gaylizardjew;2017-08-12 22:09;0;1;"it happened literally right next to the venue yall played in Cville in march. you can see the back of the Jefferson in some of the videos";;;;"896554182639067137";https://twitter.com/gaylizardjew/status/896554182639067137
mike8087;2017-08-12 19:33;0;0;"You hurling insults from cheese country? More rednecks in WI. Look at all the Packer fans. Cville was home to Thomas Jefferson, fool.";;;;"896514895008714752";https://twitter.com/mike8087/status/896514895008714752
MsThornburg;2017-08-12 17:53;0;3;"Took my boys to # cville last summer to learn about Thomas Jefferson & our founding. Even they could talk about the stain of slavery/race.";;;#;"896489725644689413";https://twitter.com/MsThornburg/status/896489725644689413
fschultz35;2017-08-12 17:49;0;0;"I know this is way way way down on the list of terrible things in Cville, but want to point out their love of rotten Jefferson.";;;;"896488874540539904";https://twitter.com/fschultz35/status/896488874540539904
_Almaqah;2017-08-12 15:26;0;2;"Since Cville is in the news, there's a secret society at UVA called the Purple Shadows who march at dawn every year for Jefferson's birthday pic.twitter.com/Ftqf6dC3n9";;;;"896452940269072384";https://twitter.com/_Almaqah/status/896452940269072384
RunTheJules;2017-08-12 14:18;0;0;"This reminds me of the time I drove from CVille to Arlington, only to be surprised when I hit "Jefferson Davis Boulevard" https://twitter.com/fmason3/status/896433693660766208 …";;;;"896435795610918912";https://twitter.com/RunTheJules/status/896435795610918912
capricioustube;2017-08-12 10:53;1;9;"for those saying Thomas Jefferson is rolling in his grave over the nazis in cville: what the fuck are you taking about he was a slave owner";;;;"896384095210672130";https://twitter.com/capricioustube/status/896384095210672130
CodeAnimal;2017-08-12 02:08;0;3;"The ghosts of Thomas Jefferson and Sally Hemmings will visit the Cville torchbearers in their sleep tonight and tell them they're dumbasses.";;;;"896251957819650049";https://twitter.com/CodeAnimal/status/896251957819650049
Thats_TooFunny;2017-07-24 21:41;0;0;"Last open mic night of the summer! 7 at the Jefferson school! The most happening event of the summer, don't miss it! # CvilleSeries # Cville pic.twitter.com/9sQIM5SwZc";;;# #;"889661950283722753";https://twitter.com/Thats_TooFunny/status/889661950283722753
DC_Places;2017-07-14 08:21;0;0;"Latest mentions for Jefferson: http://sch.mp/0rEafg  - RT @ cbredc In collaboration with @ CBRE_CVILLE, @ cbredc assisted in the $7.9M sal...";;@ @ @;;"885836580065116160";https://twitter.com/DC_Places/status/885836580065116160
cbredc;2017-07-14 08:00;0;0;"In collaboration with @ CBRE_CVILLE, @ cbredc assisted in the $7.9M sale of the Jefferson Plaza shopping center http://bit.ly/2tNeDuV";;@ @;;"885831344730845184";https://twitter.com/cbredc/status/885831344730845184
SrCenter_Cville;2017-07-13 10:11;0;0;"Thomas Jefferson Planning District Commission wants YOUR feedback on the new Jefferson Area Bike & Pedestrian Plan. http://ow.ly/VSm530dBlW0";;;;"885501989202915329";https://twitter.com/SrCenter_Cville/status/885501989202915329
GoldGallant;2017-07-10 10:30;1;1;"# TheResistance # KNOWLEDGE KKK is about IGNORANCE. Sad. Jefferson/UVA/CVille is all about the pursuit of knowledge https://www.google.com/amp/s/amp.cnn.com/cnn/2017/07/08/us/kkk-rally-charlottesville-statues/index.html …";;;# #;"884419597906190336";https://twitter.com/GoldGallant/status/884419597906190336
CvilleCityHall;2017-07-08 11:46;22;63;"This morning the Office of Human Rights is participating in a Unity Cville event at the Jefferson School. Great turnout! pic.twitter.com/GvEZbFFjmf";;;;"883713833046597632";https://twitter.com/CvilleCityHall/status/883713833046597632
GISfast;2017-07-06 12:31;1;1;"Available right now in Cville at the Jefferson School City Center, provided by residents Capitol Hill # MLK quotespic.twitter.com/LPs4aX6PKo";;;#;"883000385492987905";https://twitter.com/GISfast/status/883000385492987905
