date,temperature,precipm
"11:07 PM EST on January 03, 2017",8.3,-9999.00
"11:16 PM EST on January 03, 2017",8.3,-9999.00
"11:51 PM EST on January 03, 2017",8.0,-9999.00
"11:53 PM EST on January 03, 2017",8.3,-9999.00
"12:05 AM EST on January 04, 2017",8.3,-9999.00
"12:15 AM EST on January 04, 2017",8.3,-9999.00
"12:53 AM EST on January 04, 2017",8.3,-9999.00
"1:53 AM EST on January 04, 2017",8.3,-9999.00
"2:53 AM EST on January 04, 2017",7.8,-9999.00
"3:21 AM EST on January 04, 2017",8.3,-9999.00
"3:24 AM EST on January 04, 2017",8.9,-9999.00
"3:53 AM EST on January 04, 2017",10.6,-9999.00
"4:53 AM EST on January 04, 2017",12.2,-9999.00
"5:53 AM EST on January 04, 2017",12.8,-9999.00
"6:53 AM EST on January 04, 2017",11.7,-9999.00
"7:53 AM EST on January 04, 2017",11.7,-9999.00
"8:53 AM EST on January 04, 2017",12.2,-9999.00
"9:53 AM EST on January 04, 2017",11.7,0.3
"10:53 AM EST on January 04, 2017",13.3,0.0
"11:53 AM EST on January 04, 2017",13.9,-9999.00
"12:53 PM EST on January 04, 2017",12.8,-9999.00
"1:53 PM EST on January 04, 2017",13.3,-9999.00
"2:53 PM EST on January 04, 2017",12.8,-9999.00
"3:53 PM EST on January 04, 2017",11.7,-9999.00
"4:53 PM EST on January 04, 2017",9.4,-9999.00
"5:53 PM EST on January 04, 2017",8.3,-9999.00
"6:53 PM EST on January 04, 2017",6.7,-9999.00
"7:53 PM EST on January 04, 2017",5.6,-9999.00
"8:53 PM EST on January 04, 2017",4.4,-9999.00
"9:53 PM EST on January 04, 2017",3.9,-9999.00
"10:53 PM EST on January 04, 2017",2.2,-9999.00
"11:53 PM EST on January 04, 2017",2.2,-9999.00
"12:53 AM EST on January 05, 2017",0.6,-9999.00
"1:53 AM EST on January 05, 2017",0.0,-9999.00
"2:53 AM EST on January 05, 2017",0.0,-9999.00
"3:53 AM EST on January 05, 2017",0.0,-9999.00
"4:53 AM EST on January 05, 2017",0.6,-9999.00
"5:53 AM EST on January 05, 2017",0.0,-9999.00
"6:53 AM EST on January 05, 2017",0.6,-9999.00
"7:53 AM EST on January 05, 2017",0.6,-9999.00
"8:53 AM EST on January 05, 2017",1.1,-9999.00
"9:53 AM EST on January 05, 2017",1.7,-9999.00
"10:53 AM EST on January 05, 2017",2.2,-9999.00
"11:53 AM EST on January 05, 2017",2.2,-9999.00
"12:53 PM EST on January 05, 2017",3.3,-9999.00
"1:53 PM EST on January 05, 2017",3.3,-9999.00
"2:53 PM EST on January 05, 2017",3.3,-9999.00
"3:53 PM EST on January 05, 2017",3.3,-9999.00
"4:53 PM EST on January 05, 2017",2.8,-9999.00
"5:53 PM EST on January 05, 2017",2.8,-9999.00
"6:53 PM EST on January 05, 2017",2.8,-9999.00
"7:53 PM EST on January 05, 2017",2.8,-9999.00
"8:53 PM EST on January 05, 2017",2.2,-9999.00
"9:53 PM EST on January 05, 2017",2.2,-9999.00
"10:53 PM EST on January 05, 2017",2.8,-9999.00
"11:53 PM EST on January 05, 2017",2.2,-9999.00
"12:53 AM EST on January 06, 2017",1.7,-9999.00
"1:53 AM EST on January 06, 2017",2.2,-9999.00
"2:53 AM EST on January 06, 2017",1.7,-9999.00
"3:53 AM EST on January 06, 2017",0.6,-9999.00
"4:53 AM EST on January 06, 2017",0.6,-9999.00
"5:53 AM EST on January 06, 2017",0.0,-9999.00
"6:53 AM EST on January 06, 2017",0.0,-9999.00
"7:53 AM EST on January 06, 2017",-0.6,-9999.00
"8:53 AM EST on January 06, 2017",0.0,-9999.00
"9:53 AM EST on January 06, 2017",0.6,-9999.00
"10:53 AM EST on January 06, 2017",0.6,-9999.00
"11:53 AM EST on January 06, 2017",1.1,-9999.00
"12:53 PM EST on January 06, 2017",0.6,0.0
"1:07 PM EST on January 06, 2017",1.1,0.0
"1:53 PM EST on January 06, 2017",0.6,0.0
"2:48 PM EST on January 06, 2017",0.0,0.0
"2:53 PM EST on January 06, 2017",0.0,0.0
"3:04 PM EST on January 06, 2017",0.0,0.0
"3:44 PM EST on January 06, 2017",-0.6,0.0
"3:53 PM EST on January 06, 2017",-0.6,0.0
"4:03 PM EST on January 06, 2017",-0.6,0.0
"4:18 PM EST on January 06, 2017",-0.6,0.0
"4:53 PM EST on January 06, 2017",-1.1,0.0
"5:53 PM EST on January 06, 2017",-1.1,0.0
"6:14 PM EST on January 06, 2017",-1.1,0.0
"6:53 PM EST on January 06, 2017",-1.7,0.0
"7:53 PM EST on January 06, 2017",-1.7,-9999.00
"8:53 PM EST on January 06, 2017",-1.7,-9999.00
"9:53 PM EST on January 06, 2017",-1.7,-9999.00
"10:53 PM EST on January 06, 2017",-1.7,-9999.00
"11:01 PM EST on January 06, 2017",-1.7,-9999.00
"11:53 PM EST on January 06, 2017",-2.2,-9999.00
"12:53 AM EST on January 07, 2017",-3.3,0.0
"1:33 AM EST on January 07, 2017",-4.4,0.0
"1:49 AM EST on January 07, 2017",-4.0,0.0
"1:53 AM EST on January 07, 2017",-4.4,0.0
"2:16 AM EST on January 07, 2017",-5.0,0.0
"2:27 AM EST on January 07, 2017",-5.0,0.0
"2:53 AM EST on January 07, 2017",-5.0,0.3
"3:22 AM EST on January 07, 2017",-5.0,0.0
"3:49 AM EST on January 07, 2017",-6.0,0.3
"3:53 AM EST on January 07, 2017",-5.6,0.3
"4:25 AM EST on January 07, 2017",-6.1,0.0
"4:53 AM EST on January 07, 2017",-6.1,0.0
"5:00 AM EST on January 07, 2017",-6.1,0.0
"5:14 AM EST on January 07, 2017",-6.1,0.0
"5:27 AM EST on January 07, 2017",-6.1,0.3
"5:34 AM EST on January 07, 2017",-6.7,0.3
"5:43 AM EST on January 07, 2017",-6.7,0.3
"5:50 AM EST on January 07, 2017",-7.0,0.3
"5:53 AM EST on January 07, 2017",-6.7,0.3
"6:12 AM EST on January 07, 2017",-6.7,0.3
"6:37 AM EST on January 07, 2017",-7.2,0.3
"6:53 AM EST on January 07, 2017",-6.7,0.3
"7:07 AM EST on January 07, 2017",-6.7,0.0
"7:15 AM EST on January 07, 2017",-6.7,0.0
"7:23 AM EST on January 07, 2017",-7.2,0.0
"7:51 AM EST on January 07, 2017",-7.0,0.0
"7:53 AM EST on January 07, 2017",-6.7,0.0
"8:09 AM EST on January 07, 2017",-6.7,0.3
"8:53 AM EST on January 07, 2017",-6.7,0.3
"9:00 AM EST on January 07, 2017",-6.7,0.0
"9:36 AM EST on January 07, 2017",-6.7,0.0
"9:41 AM EST on January 07, 2017",-6.7,0.0
"9:53 AM EST on January 07, 2017",-6.7,0.0
"10:00 AM EST on January 07, 2017",-6.7,0.0
"10:53 AM EST on January 07, 2017",-6.1,0.0
"11:03 AM EST on January 07, 2017",-6.1,0.0
"11:11 AM EST on January 07, 2017",-6.1,0.0
"11:29 AM EST on January 07, 2017",-6.1,0.0
"11:40 AM EST on January 07, 2017",-5.6,0.0
"11:49 AM EST on January 07, 2017",-6.0,0.0
"11:53 AM EST on January 07, 2017",-5.6,0.0
"12:36 PM EST on January 07, 2017",-6.1,0.0
"12:43 PM EST on January 07, 2017",-6.1,0.0
"12:53 PM EST on January 07, 2017",-6.1,0.0
"1:53 PM EST on January 07, 2017",-5.0,0.0
"2:53 PM EST on January 07, 2017",-3.9,-9999.00
"3:53 PM EST on January 07, 2017",-3.3,-9999.00
"4:53 PM EST on January 07, 2017",-4.4,-9999.00
"5:53 PM EST on January 07, 2017",-5.0,-9999.00
"6:53 PM EST on January 07, 2017",-5.6,-9999.00
"7:53 PM EST on January 07, 2017",-5.6,-9999.00
"8:53 PM EST on January 07, 2017",-6.7,-9999.00
"9:53 PM EST on January 07, 2017",-7.2,-9999.00
"10:53 PM EST on January 07, 2017",-8.3,-9999.00
"11:53 PM EST on January 07, 2017",-7.8,-9999.00
"12:53 AM EST on January 08, 2017",-8.9,-9999.00
"1:53 AM EST on January 08, 2017",-8.9,-9999.00
"2:53 AM EST on January 08, 2017",-9.4,-9999.00
"3:53 AM EST on January 08, 2017",-9.4,-9999.00
"4:53 AM EST on January 08, 2017",-10.0,-9999.00
"5:53 AM EST on January 08, 2017",-11.1,-9999.00
"6:53 AM EST on January 08, 2017",-12.8,-9999.00
"7:53 AM EST on January 08, 2017",-10.6,-9999.00
"8:53 AM EST on January 08, 2017",-8.3,-9999.00
"9:53 AM EST on January 08, 2017",-6.7,-9999.00
"10:53 AM EST on January 08, 2017",-6.1,-9999.00
"11:53 AM EST on January 08, 2017",-5.6,-9999.00
"12:53 PM EST on January 08, 2017",-4.4,-9999.00
"1:53 PM EST on January 08, 2017",-4.4,-9999.00
"2:53 PM EST on January 08, 2017",-3.9,-9999.00
"3:53 PM EST on January 08, 2017",-3.9,-9999.00
"4:53 PM EST on January 08, 2017",-5.0,-9999.00
"5:53 PM EST on January 08, 2017",-6.1,-9999.00
"6:53 PM EST on January 08, 2017",-6.7,-9999.00
"7:53 PM EST on January 08, 2017",-7.8,-9999.00
"8:53 PM EST on January 08, 2017",-9.4,-9999.00
"9:53 PM EST on January 08, 2017",-8.3,-9999.00
"10:53 PM EST on January 08, 2017",-9.4,-9999.00
"11:53 PM EST on January 08, 2017",-11.1,-9999.00
"12:53 AM EST on January 09, 2017",-11.1,-9999.00
"1:53 AM EST on January 09, 2017",-11.1,-9999.00
"2:53 AM EST on January 09, 2017",-11.7,-9999.00
"3:53 AM EST on January 09, 2017",-11.7,-9999.00
"4:53 AM EST on January 09, 2017",-11.1,-9999.00
"5:53 AM EST on January 09, 2017",-11.7,-9999.00
"6:53 AM EST on January 09, 2017",-13.3,-9999.00
"7:53 AM EST on January 09, 2017",-10.6,-9999.00
"8:53 AM EST on January 09, 2017",-10.6,-9999.00
"9:53 AM EST on January 09, 2017",-8.3,-9999.00
"10:53 AM EST on January 09, 2017",-6.7,-9999.00
