DateIssued,0,1,2,3,4,5,6
236,,,4.0,43.0,2.0,1.0,
237,,,,21.0,9.0,,
239,,,,,1.0,,
240,,,,3.0,1.0,,
241,,,,23.0,2.0,,
242,,,1.0,50.0,18.0,,
243,,,1.0,6.0,2.0,,
244,,,22.0,5.0,2.0,,
248,,,,3.0,37.0,,
249,,,,19.0,19.0,2.0,
250,,,,6.0,64.0,,
251,,,1.0,2.0,3.0,,
252,,,,1.0,,,
254,,,,2.0,54.0,29.0,
255,,,20.0,38.0,38.0,1.0,
256,,,15.0,23.0,51.0,1.0,
257,,,17.0,19.0,,,
258,,,1.0,3.0,,,
261,,,,13.0,,,
262,,,3.0,7.0,35.0,,
263,,,,32.0,35.0,30.0,
264,,,3.0,10.0,34.0,,
266,,,,,36.0,,
267,,,,,,1.0,
268,,,,2.0,,,
269,,,,1.0,,11.0,
270,,,,,1.0,20.0,
271,,,,1.0,,,
272,,,,,,21.0,
273,,,,,36.0,,
276,,,2.0,6.0,6.0,14.0,
277,,,,4.0,2.0,,
278,,,1.0,,2.0,2.0,
279,,,2.0,,2.0,1.0,
282,,,2.0,4.0,,,
283,,,1.0,5.0,41.0,1.0,
284,,,,35.0,25.0,14.0,
285,,,16.0,21.0,1.0,5.0,
286,,,,17.0,1.0,8.0,
287,,,,14.0,48.0,,
289,,,,2.0,12.0,,
290,,,2.0,12.0,10.0,25.0,
291,,,,13.0,8.0,22.0,
292,,,2.0,14.0,21.0,,
293,,,1.0,2.0,,,
294,,,,,1.0,,
296,,,,7.0,,,
297,,,,9.0,,28.0,
298,,,,20.0,7.0,1.0,
299,,,1.0,5.0,2.0,,
300,,,,16.0,8.0,13.0,
301,,,,,9.0,,1.0
303,,,,11.0,38.0,24.0,
304,,,1.0,6.0,13.0,,
305,,,,6.0,38.0,2.0,
306,,,1.0,25.0,18.0,,
307,,,1.0,,1.0,1.0,
309,,,,,,,1.0
310,,,1.0,5.0,1.0,4.0,
311,,,,2.0,2.0,,
312,,,1.0,8.0,7.0,,
313,,,1.0,3.0,2.0,,
315,,,1.0,,21.0,,
316,,,1.0,,,,
317,,,1.0,12.0,25.0,,
318,,,,1.0,2.0,13.0,
319,,,,,13.0,,
320,,,,3.0,2.0,,
321,,,,5.0,1.0,,
325,,,,4.0,1.0,,
326,,,,1.0,,,
329,,,,,,1.0,
331,,,3.0,3.0,,,
332,,,2.0,1.0,,,
333,,,,,1.0,,
334,,,,40.0,21.0,,
335,,,,33.0,,,
336,,,,1.0,,3.0,
337,,,,1.0,,,
338,,,1.0,35.0,1.0,,
340,,,,7.0,,,
341,,,,7.0,,,
342,,,,1.0,,,
345,,,,3.0,1.0,1.0,1.0
346,,,1.0,2.0,,,
347,,,,,2.0,,
348,,,,,1.0,1.0,
349,,,1.0,5.0,1.0,,
352,,,,2.0,1.0,,
353,,,,3.0,,,
354,,,,3.0,,,
355,,,1.0,1.0,,2.0,
361,,,,3.0,1.0,,
362,,,1.0,,,,
363,1.0,,,,,,
365,,,,,1.0,,
