,RecordID,TicketNumber,DateIssued,StreetName,TimeIssued,StreetNumber,LicenseState,WaiverRequestDate,WaiverGrantedDate,AppealDate,AppealGrantedDate,ViolationDescription,AppealStatus,Location,LicensePlateAnon,Coords
12954,12955,00196158,2017-01-04T12:06:24.000Z,JEFFERSON PARK AVE,12:06,1300,VA,,,,,Overtime Parking,n/a,1300 JEFFERSON PARK AVE,107756,"(38.0326963655988, -78.4993567914775)"
12957,12958,00196161,2017-01-04T12:10:30.000Z,UNIVERSITY AVE,12:10,1900,VA,,,,,Overtime Parking,n/a,1900 UNIVERSITY AVE,102996,"(38.035338, -78.500954)"
12973,12974,00196177,2017-01-04T12:20:14.000Z,10TH ST NW,12:20,100,VA,,,,,Overtime Parking,n/a,100 10TH ST NW,55914,"(38.032683, -78.49461)"
12977,12978,00196181,2017-01-04T12:23:14.000Z,10 1/2 ST NW,12:23,100,VA,,,,,Overtime Parking,n/a,100 10 1/2 ST NW,107078,"(38.032808, -78.495146)"
12980,12981,00196184,2017-01-04T12:23:43.000Z,5TH ST NE,12:23,200,VA,,,,,Overtime Parking,n/a,200 5TH ST NE,61026,"(38.030672, -78.477943)"
12987,12988,00196191,2017-01-04T12:27:39.000Z,12 1/2 ST NW,12:27,100,OH,,,,,Overtime Parking,n/a,100 12 1/2 ST NW,22508,"(38.033298, -78.497399)"
12990,12991,00196194,2017-01-04T12:30:29.000Z,13TH ST NW,12:30,100,VA,,,,,Overtime Parking,n/a,100 13TH ST NW,125754,"(38.034029, -78.497951)"
12999,13000,00196202,2017-01-04T12:33:44.000Z,3RD ST NE,12:33,200,VA,,,,,Overtime Parking,n/a,200 3RD ST NE,73145,"(38.031147, -78.479494)"
11007,13008,00196210,2017-01-04T12:42:35.000Z,BROAD AVE,12:42,1500,VA,,,,,LT Side to Curb,n/a,1500 BROAD AVE,110239,"(38.0243151, -78.5047096072502)"
11012,13013,00196215,2017-01-04T12:49:00.000Z,W SOUTH ST,12:49,200,VA,,,,,Overtime Parking,n/a,200 W SOUTH ST,109740,"(39.7905161554054, -85.6117238513513)"
11013,13014,00196216,2017-01-04T12:49:56.000Z,1ST ST N,12:50,300,VA,,,,,Overtime Parking,n/a,300 1ST ST N,115733,"(38.03238, -78.480673)"
11015,13016,00196218,2017-01-04T12:51:47.000Z,1ST ST S,12:51,200,VA,,,,,Overtime Parking,n/a,200 1ST ST S,107863,"(38.029897, -78.481819)"
11017,13018,00196220,2017-01-04T12:58:37.000Z,COURT SQ,12:58,500,VA,,,,,Void,n/a,500 COURT SQ,110047,"(38.0311347, -78.4774335)"
11025,13026,00196228,2017-01-04T13:14:37.000Z,E MARKET ST,13:14,300,VA,,,,,Overtime Parking,n/a,300 E MARKET ST,80918,"(38.0317403, -78.4819014)"
11028,13029,00196231,2017-01-04T13:24:43.000Z,2ND ST SW,13:25,200,VA,,,,,Overtime Parking,n/a,200 2ND ST SW,128154,"(38.030144, -78.482568)"
11031,13032,00196234,2017-01-04T13:54:08.000Z,RIDGE ST,13:54,800,VA,,,,,Bus or Taxi Zone,n/a,800 RIDGE ST,107824,"(38.0221924, -78.4912889912063)"
11035,13036,00196238,2017-01-04T13:59:08.000Z,RIDGE ST,13:59,900,VA,,,,,Bus or Taxi Zone,n/a,900 RIDGE ST,34100,"(38.0200491096692, -78.4932772833823)"
11053,13054,00196259,2017-01-04T14:38:34.000Z,8TH ST NE,14:38,300,VA,,,,,Overtime Parking,n/a,300 8TH ST NE,112779,"(38.03106, -78.475377)"
11055,13056,00196261,2017-01-05T09:15:28.000Z,WELK PL,09:15,100,TX,,,,,Parking on Sidewalk/Blocking Sidewalk,n/a,100 WELK PL,27720,"(38.015746, -78.503205)"
11058,13059,00196266,2017-01-05T10:12:48.000Z,17TH ST NW,10:12,500,NC,,,,,LT Side to Curb,n/a,500 17TH ST NW,16390,"(38.040455, -78.49976)"
11059,13060,00196267,2017-01-05T10:20:23.000Z,14TH ST NW,10:20,300,VA,,,,,Curb Painted Yellow,n/a,300 14TH ST NW,123225,"(38.03615, -78.498368)"
11075,13076,00196283,2017-01-05T11:10:59.000Z,1ST ST S,11:10,100,VA,,,,,No Parking any time,n/a,100 1ST ST S,44792,"(38.030628, -78.481466)"
11098,13099,00196305,2017-01-05T12:09:15.000Z,2ND ST NE,12:09,100,VA,,,,,Overtime Parking,n/a,100 2ND ST NE,115324,"(38.030629, -78.480594)"
11113,13114,00196320,2017-01-05T12:23:45.000Z,UNIVERSITY AVE,12:23,1700,TN,,,,,Overtime Parking,n/a,1700 UNIVERSITY AVE,27070,"(38.036036, -78.501661)"
11120,13121,00196327,2017-01-05T12:35:05.000Z,STADIUM RD,12:35,100,VA,,,,,No Parking any time,n/a,100 STADIUM RD,105680,"(38.03204445, -78.5090342279613)"
11136,13137,00196343,2017-01-05T13:09:03.000Z,W SOUTH ST,13:09,100,VA,,,,,Overtime Parking,n/a,100 W SOUTH ST,108342,"(39.7905428445946, -85.6120961486486)"
11151,13152,00196358,2017-01-05T14:00:13.000Z,W MAIN ST,14:00,600,VA,,,,,Overtime Parking,n/a,600 W MAIN ST,104627,"(38.0309749, -78.488482153214)"
