,RecordID,TicketNumber,DateIssued,StreetName,TimeIssued,StreetNumber,LicenseState,WaiverRequestDate,WaiverGrantedDate,AppealDate,AppealGrantedDate,ViolationDescription,AppealStatus,Location,LicensePlateAnon,Coords,DistMetric
362710,362711,87387618,2017-08-19T00:00:00.000Z,UNIVERSITY CIR,10:45,34,VA,,,,,No Parking any time,n/a,34 UNIVERSITY CIR,114768,"(38.0435415633547, -78.5034613397903)",3.0714184056378264
362197,362198,87264318,2017-08-21T00:00:00.000Z,PROSPECT AVE,03:23,707,VA,,,,,No Parking any time,n/a,707 PROSPECT AVE,110735,"(38.0245202, -78.49494185)",10.055929448000725
355335,356336,86749418,2017-08-21T00:00:00.000Z,15TH ST NW,17:20,201,MD,,,,,No Parking any time,n/a,201 15TH ST NW,11360,"(38.0360726, -78.4997347255967)",0.025
363991,363992,87642613,2017-08-21T00:00:00.000Z,PRESTON AVE,10:45,1124,VA,,,,,Blocking Drive ,n/a,1124 PRESTON AVE,106100,"(38.04309135, -78.4924350850738)",7.1155539761942395
23188,24189,00208074,2017-08-22T08:08:59.000Z,MAYWOOD LN,08:08,100,VA,,,,,No Parking any time,n/a,100 MAYWOOD LN,31610,"(38.029248, -78.509058)",9.552343351442293
23212,24213,00208105,2017-08-22T10:43:44.000Z,GORDON AVE,10:43,1700,VA,,,,,No Parking any time,n/a,1700 GORDON AVE,44584,"(38.040359, -78.500108)",1.2375581181269386
362032,362033,87221313,2017-08-23T00:00:00.000Z,CHESAPEAKE ST,17:50,1324,PA,,,,,Blocking Drive ,n/a,1324 CHESAPEAKE ST,24782,"(38.0266170382199, -78.464825171195)",0.10956387017117303
362041,362042,87233218,2017-08-24T00:00:00.000Z,6TH ST NE,09:54,100,VA,,,,,No Parking any time,n/a,100 6TH ST NE,105283,"(38.0305438, -78.4773803)",0.10153269492959598
364389,364390,87818225,2017-08-24T00:00:00.000Z,MCINTIRE RD,19:00,900,VA,,,,,Parking on Sidewalk/Blocking Sidewalk,n/a,900 MCINTIRE RD,105690,"(38.034326, -78.482603)",0.924302139663511
23405,24406,00208307,2017-08-24T12:04:21.000Z,CHISHOLM PL,12:04,100,VA,,,10/18/2017,10/18/2017,Parking on Sidewalk/Blocking Sidewalk,granted,100 CHISHOLM PL,116081,"(38.026462, -78.463885)",0.1397607897252902
23412,24413,00208314,2017-08-24T12:45:56.000Z,CHERRY ST,12:46,1100,VA,,,,,LT Side to Curb,n/a,1100 CHERRY ST,110026,"(38.02487095, -78.4712485464132)",0.6521901049201981
363360,363361,87517918,2017-08-29T00:00:00.000Z,UNIVERSITY CIR,18:15,1839,VA,,,,,No Parking any time,n/a,1839 UNIVERSITY CIR,110976,"(38.041702114204, -78.5020500424765)",1.7752465116292147
363361,363362,87518018,2017-08-30T00:00:00.000Z,UNIVERSITY CIR,16:45,30,VA,,,,,No Parking any time,n/a,30 UNIVERSITY CIR,98901,"(38.043547, -78.503461)",3.0772806066327782
353337,353338,86551418,2017-08-30T00:00:00.000Z,W MAIN ST,11:16,1399,VA,,,,,No Parking any time,n/a,1399 W MAIN ST,50109,"(38.0307356, -78.4870175)",0.293618383241424
363362,363363,87518118,2017-08-30T00:00:00.000Z,17TH ST NW,18:31,426,VA,,,,,No Parking any time,n/a,426 17TH ST NW,110800,"(38.039463532244, -78.5003074525833)",0.678054338732538
23660,24661,00208578,2017-08-30T11:42:16.000Z,ROBERTSON AVE,11:42,200,VA,,,,,LT Side to Curb,n/a,200 ROBERTSON AVE,106987,"(38.02426285, -78.5130552652281)",24.74820637369376
364278,364279,87770918,2017-08-31T00:00:00.000Z,4TH ST NE,14:31,116,VA,,,,,No Parking any time,n/a,116 4TH ST NE,99114,"(38.0302197959184, -78.4790570816326)",0.025
363992,363993,87642813,2017-09-01T00:00:00.000Z,PRICE AVE,00:18,2311,PA,,,,,Blocking Drive ,n/a,2311 PRICE AVE,24824,"(38.02731336602, -78.5177717043309)",20.289385564450207
23814,24815,00208741,2017-09-01T09:40:05.000Z,ALTAMONT CIR,09:40,400,VA,,,,,Permit Zone w/o Permit,n/a,400 ALTAMONT CIR,86002,"(38.0334669, -78.4813458854171)",0.6759388697713615
23846,24847,00208773,2017-09-01T10:32:05.000Z,LEWIS MOUNTAIN CIR,10:32,0,VA,,,,,Permit Zone w/o Permit,n/a,0 LEWIS MOUNTAIN CIR,112877,"(38.038842, -78.513765)",0.41777578296914536
23909,24910,00208835,2017-09-01T13:05:34.000Z,KING ST,13:05,1100,VA,,,,,Void,n/a,1100 KING ST,166815,"(38.028743, -78.499132)",5.276657534909467
23916,24917,00208842,2017-09-01T13:12:07.000Z,KING ST,13:12,1200,VA,,,,,Permit Zone w/o Permit,n/a,1200 KING ST,77147,"(38.0281993, -78.5002593939687)",6.597036006256938
23918,24919,00208844,2017-09-01T13:15:27.000Z,GROVE ST,13:15,1200,VA,,,,,Permit Zone w/o Permit,n/a,1200 GROVE ST,133571,"(38.028973, -78.500539)",5.578197537919539
23929,24930,00208855,2017-09-01T13:29:14.000Z,PIEDMONT AVE N,13:29,100,VA,,,,,Permit Zone w/o Permit,n/a,100 PIEDMONT AVE N,88236,"(38.027342, -78.518722)",21.034101282262558
23939,24940,00208865,2017-09-01T13:39:53.000Z,MINOR RD,13:39,2100,VA,,,,,Permit Zone w/o Permit,n/a,2100 MINOR RD,98036,"(38.040087, -78.514281)",0.10247859435532462
363677,363678,87567418,2017-09-02T00:00:00.000Z,SADLER ST,11:30,100,VA,,,,,No Parking any time,n/a,100 SADLER ST,103837,"(38.036067, -78.498523)",0.025
23954,24955,00208881,2017-09-05T07:41:50.000Z,MORTON LN,07:41,900,VA,,,,,Permit Zone w/o Permit,n/a,900 MORTON LN,117762,"(38.035395, -78.493115)",0.07954597054158376
24024,25025,00208956,2017-09-05T10:49:24.000Z,7 1/2 ST SW,10:49,300,VA,,,,,Permit Zone w/o Permit,n/a,300 7 1/2 ST SW,112892,"(38.029517, -78.491306)",1.7370319638214846
24043,25044,00208975,2017-09-05T11:26:38.000Z,6TH ST SW,11:26,300,VA,,,,,No Parking any time,n/a,300 6TH ST SW,34134,"(38.029137, -78.4896)",1.6128470021116075
363363,363364,87518213,2017-09-06T00:00:00.000Z,JOHN ST,16:16,1223,SC,,,,,Blocking Drive ,n/a,1223 JOHN ST,25805,"(38.0368413589744, -78.4964787435897)",0.1581035882450916
24106,25107,00209038,2017-09-06T10:27:33.000Z,PARKWAY ST,10:27,300,VA,,,09/07/2017,09/08/2017,Permit Zone w/o Permit,granted,300 PARKWAY ST,65153,"(38.035038, -78.477976)",2.6147129269216127
24120,25121,00209052,2017-09-06T13:10:49.000Z,GROVE AVE,13:10,500,VA,,,,,Permit Zone w/o Permit,n/a,500 GROVE AVE,44826,"(38.032016, -78.469545)",2.277648642510884
364281,364282,87771822,2017-09-08T00:00:00.000Z,3RD ST SE,08:13,106,VA,,,,,Handicapped Space,n/a,106 3RD ST SE,108561,"(38.0301459183673, -78.479972244898)",0.025
24369,25370,00209300,2017-09-08T09:42:52.000Z,13TH ST NW,09:42,500,VA,,,,,Permit Zone w/o Permit,n/a,500 13TH ST NW,110304,"(38.038927, -78.495673)",1.2172343305170517
361849,361850,87195618,2017-09-09T00:00:00.000Z,JEFFERSON PARK AVE,11:45,1905,VA,,,,,No Parking any time,n/a,1905 JEFFERSON PARK AVE,107381,"(38.0276062, -78.5118527153646)",14.838276432626547
362711,362712,87387713,2017-09-10T00:00:00.000Z,ROSA TER,10:23,1508,VA,,,,,Blocking Drive ,n/a,1508 ROSA TER,89148,"(38.01898665, -78.4860865067012)",15.966387019165044
364283,364284,87772028,2017-09-11T00:00:00.000Z,1ST ST S,15:34,110,VA,,,,,Occupying Adjoining Space,n/a,110 1ST ST S,105812,"(38.030576877551, -78.4814907959184)",0.025
24436,25437,00209377,2017-09-11T10:04:25.000Z,PAGE ST,10:04,900,VA,,,,,Permit Zone w/o Permit,n/a,900 PAGE ST,108844,"(38.03472425, -78.4919922607628)",0.03488519063009937
362564,362565,87316922,2017-09-12T00:00:00.000Z,W JEFFERSON ST,19:15,200,VA,,,,,Handicapped Space,n/a,200 W JEFFERSON ST,110660,"(38.03194, -78.479958)",0.24404007429362037
363917,363918,87612618,2017-09-13T00:00:00.000Z,7TH ST NW,15:05,200,VA,,,,,No Parking any time,n/a,200 7TH ST NW,127080,"(38.0317572, -78.4896188)",0.23203972484992977
24756,25757,00209703,2017-09-13T11:51:50.000Z,15TH ST NW,11:51,600,VA,,,10/06/2017,10/11/2017,No Parking any time,denied,600 15TH ST NW,110514,"(38.040571, -78.497034)",2.158858015678624
355050,356051,86726906,2017-09-14T00:00:00.000Z,ROSE HILL DR,08:50,900,VA,,,,,Double Parking ,n/a,900 ROSE HILL DR,126208,"(38.037932, -78.4876211)",2.466589423346974
364287,364288,87772418,2017-09-14T00:00:00.000Z,5TH ST SE,08:30,103,VA,,,,,No Parking any time,n/a,103 5TH ST SE,110053,"(38.0295082, -78.4787402)",0.025
363871,363872,87604218,2017-09-16T00:00:00.000Z,HAMMOND ST,08:05,100,VA,,,,,No Parking any time,n/a,100 HAMMOND ST,107321,"(38.021232, -78.512879)",34.47860773082683
355340,356341,86749818,2017-09-17T00:00:00.000Z,UNIVERSITY CIR,15:50,2,FL,,,,,No Parking any time,n/a,2 UNIVERSITY CIR,4223,"(38.043132, -78.502057)",3.1077192206174336
355343,356344,86749918,2017-09-17T00:00:00.000Z,UNIVERSITY WAY,17:19,68,NY,,,,,No Parking any time,n/a,68 UNIVERSITY WAY,21300,"(38.041293, -78.501859)",1.506090424505798
24986,25987,00209946,2017-09-18T08:06:47.000Z,AMHERST ST,08:06,1600,VA,,,,,Blocking Drive ,n/a,1600 AMHERST ST,83254,"(38.04242685, -78.4868039970606)",9.022376696936556
364223,364224,87742612,2017-09-19T00:00:00.000Z,SPRIGG LN,08:09,210,IL,,,,,15ft of Fire Hydrant,n/a,210 SPRIGG LN,7845,"(38.0387657133367, -78.5084483133937)",0.026479324701062946
362434,362435,87298602,2017-09-21T00:00:00.000Z,2ND ST NW,16:39,201,VA,,,,,Overtime Parking,n/a,201 2ND ST NW,106565,"(38.03231005, -78.4821355999081)",0.15846658696790272
360458,360459,87066518,2017-09-22T00:00:00.000Z,LOCUST AVE,06:20,459,VA,,,,,No Parking any time,n/a,459 LOCUST AVE,84359,"(38.0321004546867, -78.4711946331353)",1.897390509908185
364231,364232,87752613,2017-09-24T00:00:00.000Z,5TH ST SW,18:07,221,VA,,,,,Blocking Drive ,n/a,221 5TH ST SW,122189,"(38.0293327, -78.4888391484139)",1.2961081661992575
362175,362176,87257705,2017-09-24T00:00:00.000Z,BROAD AVE,19:05,1505,VA,,,,,LT Side to Curb,n/a,1505 BROAD AVE,44754,"(38.02467935, -78.5042982677399)",16.117856058578383
364632,364633,87937924,2017-09-25T00:00:00.000Z,7 1/2 ST SW,00:23,414,VA,,,,,Obstructing Traffic ,n/a,414 7 1/2 ST SW,32322,"(38.02792715, -78.4925262991003)",3.6619964948255586
25432,26433,00210404,2017-09-25T13:49:02.000Z,ELSOM ST,13:49,0,VA,,,,,15ft of Fire Hydrant,n/a,0 ELSOM ST,106196,"(38.032122, -78.48965)",0.14038541931138193
25452,26453,00210433,2017-09-27T09:31:52.000Z,ARLINGTON BLVD,09:31,1900,VA,,,,,No Parking any time,n/a,1900 ARLINGTON BLVD,44978,"(38.0478095, -78.5042525)",8.785658545003745
25485,26486,00210466,2017-09-28T09:46:13.000Z,13TH ST NW,09:46,300,VA,,,,,Warning,n/a,300 13TH ST NW,46424,"(38.036014, -78.497166)",0.025
25503,26504,00210486,2017-09-29T14:57:59.000Z,OLINDA DR,14:58,100,VA,,,10/10/2017,10/10/2017,Parking on Sidewalk/Blocking Sidewalk,denied,100 OLINDA DR,105331,"(38.02376815, -78.4998602555839)",14.950241719899989
363728,363729,87573818,2017-10-02T00:00:00.000Z,MONROE LN,17:09,429,VA,,,10/05/2017,10/06/2017,No Parking any time,granted,429 MONROE LN,121005,"(38.0312755714286, -78.5031075714286)",3.656859687215089
25587,26588,00210570,2017-10-03T14:39:05.000Z,E HIGH ST,14:39,100,VA,,,,,Void,n/a,100 E HIGH ST,98673,"(38.032979, -78.480692)",0.5436831103230731
364356,364357,87805622,2017-10-04T00:00:00.000Z,5TH ST SE,11:23,107,VA,,,,,Handicapped Space,n/a,107 5TH ST SE,103766,"(38.0293468, -78.478917538559)",0.03563536731635536
364363,364364,87806725,2017-10-06T00:00:00.000Z,2ND ST SE,14:20,109,VA,,,,,Parking on Sidewalk/Blocking Sidewalk,n/a,109 2ND ST SE,32989,"(38.0301895, -78.4810928995023)",0.025
362566,362567,87317318,2017-10-06T00:00:00.000Z,OAK ST,21:24,100,VA,,,,,No Parking any time,n/a,100 OAK ST,39312,"(38.026005, -78.484071)",2.8476623989637924
355248,356249,86742926,2017-10-07T00:00:00.000Z,PIEDMONT AVE N,06:46,117,VA,,,,,Curb Painted Yellow,n/a,117 PIEDMONT AVE N,110786,"(38.027088, -78.518916)",21.915222655992366
