,RecordID,TicketNumber,DateIssued,StreetName,TimeIssued,StreetNumber,LicenseState,WaiverRequestDate,WaiverGrantedDate,AppealDate,AppealGrantedDate,ViolationDescription,AppealStatus,Location,LicensePlateAnon,Coords,DistMetric
363739,363740,87575018,2017-11-04T00:00:00.000Z,OBSERVATORY AVE,11:38,109,VA,,,,,No Parking any time,n/a,109 OBSERVATORY AVE,115598,"(38.0268889, -78.5142067077408)",18.426842095896397
362714,362715,87388026,2017-11-04T00:00:00.000Z,PIEDMONT AVE N,10:18,127,VA,,,,,Curb Painted Yellow,n/a,127 PIEDMONT AVE N,105978,"(38.0274375070004, -78.5189365764116)",20.957572088101777
364369,364370,87810113,2017-11-04T00:00:00.000Z,2ND ST SE,10:20,1006,VA,,,,,Blocking Drive ,n/a,1006 2ND ST SE,108213,"(38.02300285, -78.4841447449207)",6.758770564086402
362567,362568,87317524,2017-11-06T00:00:00.000Z,BAINBRIDGE ST,20:29,250,VA,,,,,Obstructing Traffic ,n/a,250 BAINBRIDGE ST,94553,"(38.0232914, -78.472456)",1.956983743377103
364221,364222,87735213,2017-11-06T00:00:00.000Z,2ND ST SE,18:13,1000,VA,,,,,Blocking Drive ,n/a,1000 2ND ST SE,34075,"(38.023489, -78.48205)",5.07855298642355
364312,364313,87792728,2017-11-07T00:00:00.000Z,1ST ST N,12:07,102,VA,,,,,Occupying Adjoining Space,n/a,102 1ST ST N,130774,"(38.03108755, -78.48097465)",0.025
27516,28517,00212613,2017-11-08T11:28:12.000Z,PAGE ST,11:28,1000,VA,,,,,Void,n/a,1000 PAGE ST,105614,"(38.0351818, -78.4937990781262)",0.025
362441,362442,87300716,2017-11-09T00:00:00.000Z,VALLEY RD,15:45,400,VA,,,,,Permit Zone w/o Permit,n/a,400 VALLEY RD,105321,"(38.0265632, -78.5041296355055)",11.769022495561037
347035,348036,86162213,2017-11-11T00:00:00.000Z,2ND ST NE,08:50,502,VA,,,,,Blocking Drive ,n/a,502 2ND ST NE,36423,"(38.034433, -78.4786978066747)",1.8654114290476052
364131,364132,87695413,2017-11-12T00:00:00.000Z,JOHN ST,21:30,1311,VA,,,,,Blocking Drive ,n/a,1311 JOHN ST,30905,"(38.0370195510204, -78.4969954897959)",0.16169329691869003
363994,363995,87643013,2017-11-12T00:00:00.000Z,GRACE ST,13:52,1431,VA,,,,,Blocking Drive ,n/a,1431 GRACE ST,110794,"(38.0338661168109, -78.4624946261414)",7.501520513689904
27923,28924,00213035,2017-11-16T13:56:54.000Z,VINE ST,13:56,1400,VA,,,,,Blocking Drive ,n/a,1400 VINE ST,111392,"(38.01970535, -78.468578588318)",4.455206767347685
363995,363996,87643116,2017-11-17T00:00:00.000Z,PARKWAY ST,16:44,336,VA,,,,,Permit Zone w/o Permit,n/a,336 PARKWAY ST,109996,"(38.0348159897187, -78.4774732168161)",2.5535265179377755
364320,364321,87794222,2017-11-21T00:00:00.000Z,5TH ST SE,11:24,110,VA,,,11/22/2017,11/22/2017,Handicapped Space,granted,110 5TH ST SE,171048,"(38.02921615, -78.4785108925717)",0.03587927273051244
364323,364324,87794718,2017-11-22T00:00:00.000Z,E MAIN ST,10:58,100,VA,,,,,No Parking any time,n/a,100 E MAIN ST,106517,"(38.0304813, -78.4815387321853)",0.025
355255,356256,86743315,2017-11-25T00:00:00.000Z,2ND ST SW,18:30,213,VA,,,,,Parking 20ft of Intersection,n/a,213 2ND ST SW,110986,"(38.02976425, -78.4830762846276)",0.2108575275035581
363189,363190,87481024,2017-11-27T00:00:00.000Z,HILLCREST RD,02:20,800,VA,,,,,Obstructing Traffic ,n/a,800 HILLCREST RD,104401,"(38.042023, -78.477018)",14.550216689680322
364324,364325,87794925,2017-11-27T00:00:00.000Z,E MAIN ST,08:13,114,OH,,,,,Parking on Sidewalk/Blocking Sidewalk,n/a,114 E MAIN ST,22563,"(38.0304501, -78.4811867)",0.025
28104,29105,00213232,2017-11-28T11:01:49.000Z,FONTAINE AVE,11:01,2200,VA,,,,,Parking 20ft of Intersection,n/a,2200 FONTAINE AVE,104918,"(38.025803, -78.515228)",22.253863165523065
364153,364154,87702421,2017-11-30T00:00:00.000Z,SWANSON DR,00:18,1919,VA,,,,,Dual Wheeled Veh Overnight,n/a,1919 SWANSON DR,33100,"(38.0623186363636, -78.493785)",69.49629574091169
364512,364513,87872613,2017-12-02T00:00:00.000Z,KENT TER,23:40,111,GA,,,,,Blocking Drive ,n/a,111 KENT TER,6925,"(38.02777545, -78.5094498459025)",12.7594852930237
364154,364155,87702518,2017-12-02T00:00:00.000Z,MADISON LN,00:50,165,VA,,,,,No Parking any time,n/a,165 MADISON LN,117623,"(38.038582805982, -78.5012444155344)",0.2195783733487849
364227,364228,87743113,2017-12-02T00:00:00.000Z,JEFFERSON PARK AVE,21:39,1401,VA,,,,,Blocking Drive ,n/a,1401 JEFFERSON PARK AVE,104679,"(38.0320328382534, -78.5019837646575)",2.4865034785618145
364226,364227,87743018,2017-12-02T00:00:00.000Z,GARRETT ST,20:15,104,VA,,,,,No Parking any time,n/a,104 GARRETT ST,139981,"(38.0289322126717, -78.4837345915336)",0.597229585471368
364229,364230,87743713,2017-12-02T00:00:00.000Z,JEFFERSON PARK AVE,21:39,1901,VA,,,,,Blocking Drive ,n/a,1901 JEFFERSON PARK AVE,104670,"(38.0277264, -78.5116678282285)",14.426220404338302
363996,363997,87643218,2017-12-03T00:00:00.000Z,ALTAMONT ST,12:19,115,VA,,,,,No Parking any time,n/a,115 ALTAMONT ST,110891,"(38.0349654, -78.4816656)",1.5463664217787714
364334,364335,87800318,2017-12-04T00:00:00.000Z,10 1/2 ST NW,12:00,7,VA,,,,,No Parking any time,n/a,7 10 1/2 ST NW,32002,"(38.037597, -78.493246)",0.8714634610934896
364310,364311,87790205,2017-12-05T00:00:00.000Z,CARLTON AVE,07:13,1337,VA,,,,,LT Side to Curb,n/a,1337 CARLTON AVE,73453,"(38.0222880701814, -78.4690444590942)",1.894380973629446
28524,29525,00213670,2017-12-08T10:03:03.000Z,WOODLAND DR,10:03,2500,VA,,,,,LT Side to Curb,n/a,2500 WOODLAND DR,109648,"(38.020152, -78.512446)",37.89927459112114
364552,364553,87900707,2017-12-12T00:00:00.000Z,7TH ST NE,11:26,1000,VA,,,,,Loading Zone,n/a,1000 7TH ST NE,107111,"(38.029706, -78.4768783)",0.025
364554,364555,87901122,2017-12-13T00:00:00.000Z,W MAIN ST,15:34,109,VA,,,,,Handicapped Space,n/a,109 W MAIN ST,110401,"(38.0309935, -78.481797)",0.025
359234,359235,86937612,2017-12-15T00:00:00.000Z,CENTER AVE,00:07,2314,CA,,,,,15ft of Fire Hydrant,n/a,2314 CENTER AVE,1250,"(38.0233311, -78.5103194309244)",24.950077442866096
28594,29595,00213761,2017-12-20T12:23:50.000Z,RIDGE ST,12:23,500,VA,,,,,No Parking any time,n/a,500 RIDGE ST,110721,"(38.02709505, -78.4866975150205)",2.589216708559197
28596,29597,00213764,2017-12-21T09:57:21.000Z,ALLIED ST,09:57,1700,VA,,,,,Void,n/a,1700 ALLIED ST,104425,"(38.0406306, -78.4778840070458)",10.97002711320884
362198,362199,87264418,2017-12-26T00:00:00.000Z,PAGE ST,17:37,1005,VA,,,,,No Parking any time,n/a,1005 PAGE ST,44495,"(38.035509, -78.493995)",0.05408272552657198
